H 0  0  1  1  0  1 ,H 1  0  0  0  0  1 ,H 1  1  1  0  0  0 ,H 0  0  0  1  0  0 ,H 0  0  0  0  1  0 ,H 1  1  1  1  0  0 ,H 0  0  0  0  0  0 ,H 1  0  0  1  0  1 ,H 0  0  1  0  0  1 ,H 1  0  0  0  1  1 ,H 1  0  0  1  1  1 ,H 1  1  1  1  1  0 ,H 1  1  1  0  1  0 ,H 0  0  0  1  1  0 ,H 0  1  0  0  0  1 ,H 0  0  1  0  1  1 ,H 0  0  1  1  1  1 ,H 1  1  0  0  0  0 ,H 1  0  0  0  0  0 ,H 0  0  0  0  0  1 ,H 0  0  0  0  1  1 ,H 1  1  1  1  0  1 ,H 0  1  0  0  1  1 ,H 0  1  1  0  0  0 ,H 0  0  1  0  0  0 ,H 1  0  0  0  1  0 ,H 1  1  1  1  1  1 ,H 1  0  1  1  1  1 ,H 1  0  1  1  0  1 ,H 0  1  1  0  1  0 ,H 1  1  0  0  1  0 ,H 0  0  1  0  1  0 ,H 0  1  1  1  0  1 ,H 0  1  1  0  0  1 ,H 0  1  0  0  1  0 ,H 0  1  0  1  0  0 ,H 0  1  0  1  1  0 ,H 1  1  0  1  0  1 ,H 1  1  0  0  0  1 ,H 0  1  1  1  1  1 ,H 1  0  1  0  1  0 ,H 1  0  1  1  1  0 ,H 1  0  1  1  0  0 ,H 1  0  1  0  0  0 ,H 0  1  1  0  1  1 ,H 1  1  0  1  1  1 ,H 1  1  0  0  1  1 ,H 0  1  1  1  0  0 ,H 1  0  0  1  0  0 ,H 0  0  0  1  0  1 ,H 0  1  0  1  0  1 ,H 1  1  1  0  0  1 ,H 0  1  0  1  1  1 ,H 1  1  0  1  0  0 ,H 0  0  1  1  0  0 ,H 1  1  0  1  1  0 ,H 1  0  0  1  1  0 ,H 1  0  1  0  1  1 ,H 1  1  1  0  1  1 ,H 0  0  0  1  1  1 ,H 0  1  0  0  0  0 ,H 1  0  1  0  0  1 ,H 0  1  1  1  1  0 ,H 0  0  1  1  1  0 
"	0","	1","	2","	19","	176","	0","	5","	1","	2","	28","	156","	6","	3","	1162","	1","	0","	0","	3","	57","	2","	5","	1","	0","	1","	2","	2287","	0","	0","	0","	2","	84","	6","	0","	1","	9","	3","	46","	1","	1","	0","	16","	61","	4","	1","	2","	7","	2","	1","	421","	0","	0","	0","	0","	11","	1","	671","	22573","	1","	0","	10","	2","	2","	0","	3"
"	3","	10","	4","	30","	18","	3","	19","	10","	3","	10","	12","	11","	8","	35","	5","	4","	2","	21","	33","	9","	6","	2","	4","	4","	11","	62","	5","	3","	2","	4","	27","	9","	0","	3","	9","	9","	19","	8","	2","	2","	17","	14","	12","	14","	4","	7","	3","	5","	84","	5","	2","	3","	5","	41","	4","	58","	143","	4","	2","	12","	6","	4","	4","	6"
"	8","	4","	25","	8","	3","	35","	8","	3","	10","	1","	5","	3","	2","	9","	12","	3","	5","	16","	8","	9","	1","	17","	3","	23","	10","	3","	1","	3","	8","	1","	3","	6","	11","	19","	5","	21","	3","	15","	8","	6","	2","	0","	7","	7","	4","	2","	2","	31","	4","	11","	19","	16","	2","	20","	8","	4","	5","	1","	3","	3","	16","	9","	4","	0"
"	0","	5","	12","	4","	10","	8","	6","	3","	3","	4","	1","	2","	12","	3","	4","	7","	2","	29","	45","	1","	7","	0","	1","	4","	4","	30","	0","	0","	3","	5","	18","	4","	1","	1","	8","	1","	2","	5","	3","	0","	15","	6","	10","	26","	1","	1","	1","	1","	21","	2","	2","	0","	3","	10","	0","	5","	11","	4","	1","	4","	9","	6","	0","	3"
"	4","	5","	228","	4","	2","	40","	9","	2","	9","	1","	1","	0","	3","	0","	4","	5","	1","	30","	3","	2","	2","	9","	3","	63","	22","	1","	0","	0","	0","	1","	0","	1","	4","	25","	1","	7","	1","	1","	6","	0","	2","	1","	6","	26","	1","	2","	0","	5","	6","	1","	0","	31","	2","	7","	5","	0","	0","	1","	0","	1","	13","	6","	0","	2"
"	0","	2","	95","	3","	54","	5","	10","	1","	0","	16","	3","	16","	460","	4","	2","	0","	0","	139","	624","	2","	4","	0","	1","	1","	6","	2976","	0","	1","	0","	10","	596","	26","	0","	1","	9","	1","	2","	0","	2","	0","	2027","	85","	17","	495","	1","	2","	5","	1","	40","	1","	1","	3","	1","	0","	0","	24","	108","	8","	2","	0","	3","	2","	0","	4"
"	6","	1","	0","	82","	3","	0","	7","	28","	0","	0","	2","	0","	0","	2","	7","	0","	0","	1","	2","	5","	0","	2","	0","	1","	1","	1","	0","	1","	2","	0","	1","	1","	32","	2","	2","	296","	3","	66","	2","	4","	1","	0","	1","	1","	0","	2","	0","	9","	7","	506","	1852","	0","	29","	14","	4","	0","	1","	0","	1","	7","	8","	1","	1","	1"
"	1","	2","	8","	1","	13","	3","	4","	0","	0","	3","	0","	0","	8","	1","	1","	0","	0","	21","	51","	0","	1","	0","	1","	0","	1","	65","	1","	1","	0","	5","	23","	3","	0","	1","	3","	1","	0","	0","	0","	0","	25","	1","	3","	26","	2","	0","	0","	0","	9","	0","	0","	0","	1","	1","	1","	3","	9","	1","	1","	0","	1","	0","	0","	1"
"	6","	2","	22","	3","	0","	15","	5","	1","	5","	0","	0","	0","	2","	0","	13","	2","	0","	6","	0","	5","	0","	21","	0","	35","	7","	0","	2","	0","	1","	0","	0","	0","	30","	35","	2","	1","	0","	5","	4","	0","	0","	0","	5","	2","	1","	0","	0","	33","	1","	8","	5","	21","	2","	8","	1","	1","	1","	1","	0","	0","	21","	1","	0","	0"
"	2","	2","	17","	7","	6","	4","	8","	0","	0","	6","	1","	8","	13","	5","	1","	2","	0","	33","	42","	3","	5","	1","	3","	3","	9","	32","	1","	0","	2","	1","	19","	8","	1","	2","	3","	3","	3","	1","	2","	1","	16","	9","	10","	18","	2","	3","	2","	3","	19","	4","	1","	3","	3","	16","	2","	15","	15","	1","	2","	2","	9","	3","	1","	3"
"	1","	1","	117","	0","	2","	8","	5","	1","	0","	2","	0","	1","	2","	1","	1","	0","	0","	18","	7","	0","	1","	1","	1","	10","	3","	3","	0","	0","	1","	0","	0","	2","	0","	2","	2","	0","	0","	0","	1","	0","	1","	0","	3","	29","	0","	0","	0","	1","	0","	1","	0","	3","	1","	2","	1","	0","	1","	0","	0","	0","	2","	0","	0","	0"
"	5","	5","	3","	29","	8","	4","	13","	19","	2","	0","	6","	0","	1","	19","	3","	2","	4","	3","	18","	8","	2","	1","	6","	5","	5","	5","	1","	0","	3","	3","	4","	2","	2","	0","	6","	30","	9","	15","	2","	1","	0","	1","	3","	7","	1","	6","	4","	5","	38","	16","	13","	4","	3","	27","	8","	15","	15","	0","	0","	7","	7","	1","	2","	2"
"	7","	17","	325","	9","	13","	81","	17","	6","	8","	11","	4","	10","	40","	4","	12","	6","	3","	131","	50","	8","	4","	10","	2","	54","	30","	10","	4","	1","	9","	16","	13","	10","	8","	7","	6","	10","	1","	9","	13","	4","	18","	6","	31","	104","	5","	1","	5","	21","	9","	4","	6","	43","	5","	47","	10","	2","	4","	6","	5","	4","	26","	20","	6","	3"
"	1","	1","	0","	36","	9","	2","	7","	11","	2","	0","	9","	0","	0","	81","	2","	0","	1","	3","	7","	2","	4","	1","	0","	1","	3","	14","	1","	1","	0","	1","	3","	3","	0","	2","	7","	11","	11","	7","	0","	0","	3","	0","	0","	3","	1","	2","	1","	0","	66","	6","	3","	1","	3","	17","	2","	41","	157","	1","	0","	10","	0","	2","	2","	1"
"	2","	9","	226","	5","	50","	47","	26","	2","	5","	25","	6","	73","	505","	14","	2","	6","	5","	242","	514","	11","	8","	0","	4","	6","	16","	1194","	3","	7","	1","	16","	523","	56","	3","	3","	26","	4","	5","	0","	3","	1","	1052","	164","	75","	485","	4","	6","	6","	4","	86","	5","	2","	4","	3","	33","	5","	84","	204","	29","	9","	3","	10","	7","	6","	7"
"	122","	39","	411","	41","	11","	438","	36","	58","	105","	12","	11","	36","	40","	11","	176","	24","	20","	144","	39","	47","	19","	502","	11","	359","	86","	13","	42","	20","	92","	28","	13","	11","	452","	416","	23","	134","	18","	190","	171","	43","	13","	13","	92","	96","	39","	17","	20","	355","	34","	53","	193","	470","	21","	142","	95","	17","	11","	21","	44","	13","	147","	112","	36","	14"
"	0","	1","	14","	1","	1","	2","	1","	0","	0","	1","	0","	0","	0","	0","	1","	0","	1","	2","	0","	1","	1","	0","	1","	2","	4","	0","	0","	0","	0","	0","	0","	0","	0","	1","	0","	1","	0","	0","	0","	1","	0","	0","	2","	3","	0","	0","	0","	1","	0","	0","	0","	0","	0","	1","	0","	0","	1","	0","	1","	1","	2","	3","	1","	0"
"	3","	1","	207","	0","	1","	44","	6","	1","	7","	0","	0","	2","	2","	2","	6","	2","	0","	38","	5","	5","	2","	7","	0","	61","	13","	1","	0","	2","	2","	3","	0","	1","	4","	16","	1","	4","	0","	4","	5","	3","	2","	0","	4","	18","	0","	0","	1","	7","	4","	1","	3","	55","	1","	8","	3","	2","	0","	1","	1","	0","	14","	9","	1","	1"
"	17","	12","	8","	39","	8","	21","	16","	34","	14","	3","	8","	1","	1","	7","	26","	6","	9","	15","	4","	22","	6","	27","	8","	13","	15","	1","	4","	4","	12","	7","	4","	3","	62","	9","	8","	103","	11","	89","	17","	8","	4","	4","	12","	10","	3","	10","	1","	34","	32","	57","	161","	7","	18","	68","	20","	8","	8","	5","	5","	7","	17","	8","	9","	7"
"	0","	2","	2","	26","	60","	2","	8","	1","	1","	14","	45","	12","	2","	186","	1","	3","	2","	9","	51","	0","	7","	0","	4","	3","	2","	377","	0","	3","	2","	3","	57","	2","	1","	3","	14","	9","	30","	2","	1","	0","	12","	40","	5","	1","	1","	6","	3","	0","	209","	2","	1","	0","	2","	23","	1","	236","	1801","	2","	1","	12","	4","	1","	3","	4"
"	12","	25","	38","	43","	22","	57","	21","	22","	8","	12","	13","	18","	16","	17","	17","	10","	9","	50","	43","	12","	20","	24","	14","	23","	25","	22","	6","	11","	11","	11","	28","	20","	16","	12","	13","	48","	16","	43","	31","	8","	21","	13","	39","	26","	12","	15","	9","	31","	59","	13","	22","	13","	13","	118","	24","	39","	23","	11","	8","	7","	27","	18","	14","	16"
"	56","	118","	5048","	34","	50","	1446","	84","	45","	113","	56","	39","	349","	1208","	27","	83","	57","	26","	1014","	285","	46","	40","	467","	41","	868","	286","	121","	124","	75","	176","	257","	251","	110","	108","	265","	63","	76","	25","	113","	331","	53","	406","	148","	442","	1490","	86","	49","	125","	245","	87","	22","	43","	1405","	28","	248","	97","	84","	54","	157","	410","	31","	186","	505","	71","	63"
"	5","	2","	25","	7","	9","	23","	7","	6","	7","	0","	5","	3","	2","	4","	16","	5","	3","	17","	5","	9","	3","	11","	1","	17","	10","	1","	1","	2","	7","	4","	1","	3","	12","	15","	2","	17","	3","	8","	9","	5","	3","	0","	12","	10","	1","	0","	3","	18","	5","	5","	6","	20","	0","	22","	9","	2","	5","	1","	5","	0","	27","	4","	1","	2"
"	1","	5","	2","	32","	9","	2","	7","	8","	0","	0","	11","	3","	1","	79","	0","	3","	0","	3","	11","	1","	3","	0","	1","	3","	3","	11","	0","	0","	1","	3","	2","	2","	1","	1","	4","	10","	18","	1","	0","	0","	0","	2","	4","	4","	0","	7","	1","	2","	64","	1","	5","	1","	5","	20","	2","	31","	158","	1","	0","	7","	1","	0","	0","	2"
"	2","	4","	15","	9","	11","	10","	16","	2","	6","	4","	0","	7","	17","	8","	5","	2","	7","	32","	37","	4","	5","	0","	2","	7","	10","	27","	0","	0","	2","	2","	29","	7","	3","	1","	5","	6","	6","	1","	4","	4","	15","	10","	18","	24","	3","	1","	6","	4","	24","	3","	2","	2","	1","	26","	3","	11","	12","	4","	3","	5","	10","	5","	1","	5"
"	2","	1","	5","	9","	3","	2","	9","	4","	2","	2","	1","	1","	3","	2","	2","	1","	0","	9","	8","	4","	4","	0","	1","	0","	3","	5","	1","	0","	1","	0","	4","	2","	0","	0","	2","	10","	0","	1","	3","	0","	1","	2","	1","	1","	1","	2","	1","	5","	12","	4","	5","	1","	2","	21","	5","	5","	5","	2","	0","	0","	5","	3","	0","	3"
"	6","	23","	3455","	7","	21","	274","	31","	4","	14","	23","	4","	121","	1310","	9","	10","	15","	8","	688","	395","	8","	12","	13","	7","	129","	103","	204","	4","	4","	14","	65","	300","	62","	0","	11","	27","	9","	9","	4","	26","	5","	753","	59","	156","	1909","	7","	4","	20","	18","	38","	7","	3","	100","	4","	55","	15","	26","	27","	39","	62","	5","	31","	82","	10","	10"
"	8","	21","	3","	265","	119","	10","	30","	135","	8","	51","	786","	26","	7","	1571","	4","	6","	11","	9","	49","	8","	40","	2","	19","	3","	8","	215","	8","	15","	8","	7","	61","	14","	3","	0","	40","	85","	412","	32","	3","	7","	17","	86","	23","	5","	8","	212","	9","	7","	562","	74","	22","	2","	112","	135","	9","	900","	3508","	12","	2","	347","	9","	4","	14","	39"
"	0","	0","	1","	2","	2","	1","	1","	0","	0","	0","	0","	0","	0","	1","	1","	0","	1","	0","	2","	1","	2","	0","	0","	2","	1","	0","	0","	0","	0","	0","	2","	2","	0","	0","	0","	2","	0","	0","	0","	0","	0","	0","	0","	0","	1","	0","	0","	0","	1","	0","	0","	1","	0","	1","	1","	0","	1","	0","	0","	0","	1","	1","	0","	1"
"	2","	8","	7","	21","	446","	5","	19","	5","	3","	154","	204","	69","	54","	656","	2","	6","	4","	26","	407","	7","	8","	1","	3","	1","	7","	16651","	2","	10","	1","	9","	1260","	38","	0","	2","	47","	4","	50","	1","	1","	2","	607","	926","	25","	27","	3","	13","	12","	1","	671","	3","	1","	0","	1","	62","	6","	1864","	26941","	20","	0","	17","	7","	2","	6","	31"
"	2","	14","	7","	39","	31","	7","	23","	20","	4","	11","	30","	14","	5","	53","	4","	3","	4","	24","	47","	6","	9","	1","	3","	4","	11","	79","	1","	0","	4","	0","	38","	15","	1","	1","	7","	13","	26","	4","	2","	1","	20","	35","	18","	7","	5","	4","	7","	5","	124","	14","	4","	2","	4","	61","	12","	110","	219","	6","	3","	6","	6","	3","	5","	6"
"	1","	3","	2","	3","	0","	1","	5","	2","	0","	3","	1","	1","	0","	1","	1","	1","	0","	4","	3","	3","	1","	0","	0","	2","	1","	1","	0","	0","	0","	2","	2","	0","	1","	0","	0","	0","	0","	2","	1","	0","	1","	0","	3","	0","	0","	0","	0","	1","	1","	1","	1","	1","	1","	2","	0","	0","	0","	1","	0","	0","	1","	0","	0","	0"
"	5","	17","	34470","	12","	14","	363","	19","	3","	5","	9","	3","	58","	4866","	5","	5","	7","	2","	1555","	512","	6","	3","	6","	4","	419","	148","	116","	0","	3","	5","	62","	237","	27","	2","	6","	13","	3","	3","	2","	19","	4","	1677","	30","	137","	11073","	2","	0","	12","	5","	13","	3","	3","	353","	3","	19","	5","	9","	8","	30","	70","	1","	31","	135","	1","	4"
"	1","	1","	3","	2","	1","	3","	1","	1","	2","	1","	1","	0","	0","	1","	1","	1","	3","	4","	4","	2","	2","	1","	1","	5","	3","	1","	1","	0","	0","	1","	0","	0","	0","	0","	0","	5","	0","	2","	1","	0","	1","	0","	0","	2","	1","	0","	0","	1","	1","	1","	1","	0","	0","	3","	6","	1","	0","	0","	1","	0","	1","	1","	0","	1"
"	0","	1","	1","	5","	5","	1","	5","	1","	0","	0","	3","	0","	0","	6","	0","	2","	1","	4","	5","	1","	2","	1","	0","	0","	2","	5","	0","	0","	0","	3","	1","	1","	0","	1","	5","	5","	0","	0","	3","	0","	3","	2","	1","	1","	0","	3","	0","	1","	18","	2","	1","	0","	1","	4","	1","	5","	16","	0","	1","	0","	1","	0","	0","	1"
"	5","	12","	327","	10","	9","	78","	16","	2","	13","	9","	5","	7","	34","	10","	11","	7","	2","	103","	41","	12","	7","	12","	5","	55","	19","	14","	3","	3","	3","	14","	16","	12","	10","	11","	10","	9","	4","	5","	16","	5","	25","	7","	34","	98","	2","	2","	7","	16","	9","	2","	2","	39","	1","	43","	8","	5","	2","	6","	12","	1","	22","	24","	3","	6"
"	1","	0","	1","	6","	2","	2","	3","	3","	2","	0","	0","	0","	0","	2","	2","	0","	1","	0","	0","	1","	0","	0","	0","	2","	2","	3","	0","	1","	0","	0","	0","	1","	1","	2","	0","	5","	1","	1","	1","	0","	0","	0","	1","	1","	1","	0","	0","	0","	8","	2","	0","	0","	0","	8","	2","	0","	0","	1","	0","	0","	1","	1","	1","	0"
"	0","	1","	0","	22","	8","	5","	7","	4","	1","	4","	10","	1","	4","	50","	0","	2","	0","	7","	8","	0","	1","	0","	1","	1","	0","	14","	0","	1","	1","	0","	4","	3","	0","	0","	5","	13","	12","	3","	1","	1","	0","	4","	3","	1","	0","	4","	1","	0","	44","	4","	2","	0","	2","	11","	1","	26","	126","	2","	0","	3","	2","	0","	0","	2"
"	7","	1","	19","	1","	1","	20","	3","	1","	13","	0","	1","	0","	0","	1","	10","	1","	1","	1","	3","	5","	3","	7","	3","	37","	5","	1","	0","	2","	2","	1","	1","	1","	30","	37","	2","	6","	0","	6","	4","	1","	2","	0","	0","	9","	2","	0","	0","	33","	2","	2","	7","	12","	0","	5","	2","	0","	1","	0","	0","	0","	10","	2","	0","	1"
"	2","	1","	22","	1","	13","	9","	15","	3","	1","	13","	2","	9","	15","	6","	5","	5","	2","	37","	36","	5","	5","	1","	2","	3","	7","	18","	1","	4","	1","	4","	18","	6","	0","	3","	6","	0","	4","	0","	2","	1","	17","	12","	14","	28","	2","	4","	2","	1","	20","	6","	4","	3","	2","	16","	4","	8","	21","	6","	1","	3","	6","	2","	0","	5"
"	1","	4","	2","	4","	2","	2","	7","	4","	1","	1","	1","	1","	3","	3","	2","	0","	2","	9","	2","	0","	4","	0","	1","	3","	1","	0","	0","	0","	5","	1","	3","	3","	5","	1","	5","	5","	1","	1","	3","	0","	0","	2","	2","	4","	0","	1","	1","	0","	12","	3","	3","	1","	1","	7","	3","	2","	4","	3","	1","	0","	7","	1","	1","	1"
"	4","	5","	35","	5","	5","	31","	5","	4","	9","	0","	2","	1","	3","	2","	10","	1","	1","	24","	11","	8","	5","	16","	4","	24","	11","	3","	2","	0","	9","	4","	2","	3","	16","	16","	2","	11","	2","	13","	10","	2","	2","	3","	11","	9","	5","	1","	0","	23","	6","	8","	5","	16","	2","	15","	9","	0","	1","	2","	1","	2","	17","	8","	1","	3"
"	40","	4","	2","	57","	1","	4","	9","	37","	9","	1","	1","	1","	0","	2","	63","	6","	4","	7","	7","	23","	2","	29","	3","	8","	8","	0","	3","	0","	9","	3","	3","	4","	204","	17","	0","	278","	3","	147","	12","	5","	0","	4","	3","	3","	0","	5","	3","	57","	8","	202","	1406","	7","	15","	43","	12","	2","	1","	1","	0","	4","	16","	3","	1","	1"
"	2","	2","	2","	51","	6","	7","	8","	31","	4","	1","	7","	1","	0","	16","	2","	3","	3","	5","	13","	7","	4","	3","	1","	3","	1","	6","	0","	2","	3","	3","	5","	3","	1","	5","	3","	49","	17","	27","	2","	0","	1","	3","	5","	4","	1","	7","	2","	8","	46","	26","	28","	0","	10","	37","	6","	12","	14","	2","	0","	6","	12","	1","	3","	7"
"	8","	4","	28","	5","	3","	22","	8","	3","	10","	1","	2","	1","	3","	4","	8","	0","	4","	19","	7","	6","	3","	18","	1","	28","	15","	1","	1","	2","	10","	7","	4","	4","	26","	16","	4","	22","	2","	21","	11","	1","	5","	2","	13","	8","	6","	1","	2","	21","	4","	11","	10","	22","	2","	26","	16","	1","	2","	2","	5","	3","	20","	9","	3","	2"
"	1","	2","	3","	3","	2","	1","	9","	3","	4","	0","	4","	2","	1","	1","	1","	3","	0","	15","	6","	1","	1","	1","	3","	5","	3","	4","	0","	2","	2","	1","	4","	1","	3","	1","	2","	9","	2","	3","	1","	2","	2","	1","	5","	2","	1","	1","	1","	2","	8","	6","	1","	2","	1","	9","	3","	2","	1","	1","	1","	2","	0","	1","	1","	0"
"	13","	46","	287","	28","	78","	141","	52","	28","	12","	63","	41","	210","	416","	40","	11","	22","	12","	294","	330","	10","	29","	18","	17","	43","	51","	513","	34","	28","	21","	75","	402","	69","	11","	11","	57","	23","	30","	20","	28","	13","	452","	271","	155","	360","	6","	24","	47","	21","	166","	14","	10","	50","	16","	138","	23","	211","	298","	64","	43","	14","	27","	43","	28","	30"
"	156","	27","	9","	528","	7","	13","	17","	451","	20","	7","	92","	14","	2","	112","	100","	6","	33","	7","	10","	53","	23","	66","	26","	5","	18","	7","	15","	12","	33","	5","	6","	5","	293","	13","	13","	1071","	202","	802","	24","	55","	5","	7","	26","	11","	11","	154","	8","	65","	118","	2122","	4565","	8","	730","	214","	48","	44","	23","	1","	6","	353","	29","	2","	19","	11"
"	3","	3","	1","	36","	6","	3","	11","	16","	4","	8","	6","	0","	2","	22","	2","	2","	1","	7","	11","	5","	5","	4","	3","	3","	3","	4","	1","	3","	1","	2","	9","	2","	2","	2","	6","	32","	10","	14","	3","	0","	4","	4","	4","	4","	1","	1","	3","	3","	41","	11","	17","	3","	8","	36","	6","	20","	26","	1","	1","	8","	7","	1","	0","	2"
"	6","	7","	3","	411","	16","	3","	15","	179","	5","	11","	158","	1","	7","	451","	13","	2","	5","	4","	11","	12","	10","	2","	7","	3","	9","	8","	1","	2","	6","	3","	6","	8","	7","	5","	9","	222","	238","	94","	7","	4","	2","	6","	6","	6","	1","	85","	4","	7","	174","	436","	222","	3","	210","	98","	10","	112","	204","	5","	2","	394","	6","	1","	6","	11"
"	22","	11","	3908","	3","	5","	453","	4","	4","	77","	0","	0","	3","	4","	4","	68","	3","	1","	98","	3","	12","	4","	309","	4","	2538","	83","	0","	1","	1","	11","	9","	0","	2","	298","	1921","	4","	18","	1","	6","	78","	4","	3","	1","	10","	114","	7","	1","	2","	286","	1","	1","	21","	2871","	0","	14","	15","	1","	1","	6","	4","	3","	83","	94","	2","	1"
"	7","	1","	13","	5","	3","	19","	5","	2","	11","	0","	1","	1","	0","	2","	10","	2","	2","	4","	3","	8","	1","	9","	0","	22","	5","	1","	0","	1","	2","	1","	1","	2","	17","	30","	1","	7","	0","	1","	3","	1","	0","	1","	3","	5","	2","	1","	1","	18","	0","	2","	10","	11","	0","	6","	1","	0","	0","	0","	1","	0","	11","	3","	1","	1"
"	5","	3","	1","	45","	8","	4","	12","	19","	0","	3","	5","	7","	1","	21","	2","	5","	2","	3","	14","	4","	3","	3","	4","	4","	2","	8","	1","	3","	3","	4","	1","	4","	3","	2","	5","	42","	16","	10","	5","	1","	1","	3","	7","	4","	0","	7","	3","	5","	29","	17","	18","	1","	5","	31","	6","	19","	17","	0","	0","	9","	8","	1","	2","	3"
"	4","	8","	5","	34","	10","	2","	13","	11","	4","	1","	7","	2","	4","	29","	2","	3","	2","	8","	10","	6","	7","	2","	0","	5","	7","	5","	0","	3","	1","	3","	7","	4","	0","	1","	2","	34","	18","	18","	4","	3","	4","	3","	8","	2","	0","	5","	1","	7","	51","	15","	24","	4","	3","	32","	5","	13","	14","	3","	3","	3","	7","	2","	4","	2"
"	23","	4","	5","	37","	7","	23","	15","	31","	17","	1","	7","	1","	3","	10","	20","	10","	6","	14","	7","	22","	5","	19","	5","	14","	11","	7","	6","	6","	8","	2","	3","	7","	36","	10","	6","	116","	14","	72","	15","	8","	1","	5","	16","	9","	3","	3","	5","	37","	24","	56","	129","	10","	15","	53","	13","	3","	3","	1","	3","	9","	13","	6","	1","	6"
"	1","	4","	9","	8","	2","	4","	6","	0","	1","	1","	1","	0","	2","	4","	1","	2","	1","	3","	5","	4","	3","	1","	1","	2","	6","	0","	0","	0","	1","	0","	1","	0","	1","	3","	1","	6","	2","	5","	1","	0","	0","	1","	4","	4","	1","	0","	2","	0","	13","	2","	0","	1","	1","	17","	1","	4","	3","	1","	2","	1","	9","	4","	2","	4"
"	1","	2","	1","	3","	1","	0","	1","	2","	1","	1","	4","	0","	0","	1","	1","	0","	0","	2","	0","	1","	0","	0","	0","	1","	1","	2","	0","	0","	0","	0","	1","	0","	1","	0","	0","	1","	0","	1","	1","	0","	0","	0","	1","	2","	0","	1","	1","	1","	3","	1","	2","	0","	0","	6","	0","	3","	1","	0","	0","	1","	1","	1","	0","	0"
"	4","	1","	16","	7","	2","	2","	3","	0","	1","	2","	1","	0","	1","	1","	0","	0","	0","	6","	3","	5","	1","	1","	0","	4","	2","	2","	1","	0","	0","	1","	2","	1","	0","	1","	0","	5","	0","	0","	2","	0","	1","	1","	5","	9","	1","	0","	1","	0","	2","	0","	1","	2","	3","	3","	4","	0","	0","	0","	0","	0","	3","	1","	2","	0"
"	6","	23","	8","	347","	91","	9","	36","	157","	6","	48","	919","	25","	12","	1814","	10","	11","	14","	19","	45","	16","	31","	5","	14","	4","	9","	196","	7","	26","	6","	11","	58","	10","	6","	5","	45","	96","	522","	40","	5","	7","	15","	81","	8","	12","	8","	206","	16","	11","	616","	90","	26","	4","	131","	170","	19","	928","	3669","	7","	6","	442","	11","	9","	17","	38"
"	5","	10","	357","	9","	7","	101","	22","	3","	9","	6","	1","	12","	38","	4","	8","	7","	5","	119","	49","	5","	10","	16","	3","	78","	24","	16","	4","	2","	8","	15","	18","	15","	5","	18","	17","	7","	2","	5","	14","	5","	13","	8","	30","	101","	6","	4","	6","	22","	21","	10","	4","	49","	2","	29","	12","	6","	4","	8","	9","	3","	36","	22","	6","	8"
"	5","	6","	7","	25","	21","	6","	8","	26","	6","	4","	20","	12","	9","	47","	8","	9","	3","	23","	48","	7","	11","	1","	9","	4","	7","	46","	6","	7","	3","	9","	34","	11","	4","	4","	17","	12","	26","	12","	2","	2","	17","	26","	15","	8","	2","	12","	5","	4","	105","	12","	3","	4","	4","	56","	7","	80","	159","	3","	2","	4","	13","	4","	6","	2"
"	4","	1","	0","	812","	5","	1","	6","	120","	2","	2","	159","	0","	0","	965","	2","	0","	4","	1","	4","	4","	2","	0","	0","	1","	1","	4","	2","	1","	2","	0","	1","	2","	0","	2","	5","	228","	270","	33","	1","	0","	2","	1","	3","	2","	0","	53","	0","	0","	116","	989","	271","	1","	329","	35","	3","	42","	145","	2","	0","	1127","	2","	1","	1","	3"
"	0","	0","	3","	13","	1","	0","	2","	2","	1","	0","	0","	0","	0","	2","	0","	1","	0","	4","	1","	1","	1","	0","	1","	0","	1","	0","	0","	0","	1","	0","	2","	0","	0","	1","	0","	5","	0","	1","	0","	0","	0","	0","	1","	0","	0","	0","	2","	1","	7","	0","	0","	0","	0","	7","	3","	3","	0","	0","	0","	0","	0","	0","	0","	0"
"	0","	3","	0","	3","	3","	0","	7","	1","	1","	2","	1","	0","	0","	3","	1","	0","	0","	4","	4","	0","	3","	1","	0","	3","	3","	5","	0","	0","	0","	0","	4","	2","	0","	1","	2","	2","	3","	0","	1","	0","	1","	0","	1","	0","	0","	0","	1","	1","	8","	1","	1","	0","	0","	4","	0","	4","	3","	0","	1","	0","	4","	0","	1","	0"
"	1","	1","	0","	0","	2","	0","	3","	0","	1","	1","	0","	0","	0","	1","	1","	0","	0","	3","	11","	0","	0","	0","	1","	0","	2","	19","	0","	0","	0","	2","	5","	0","	0","	0","	1","	1","	0","	0","	0","	0","	3","	1","	0","	0","	0","	1","	0","	0","	7","	1","	1","	0","	0","	3","	0","	1","	7","	0","	0","	0","	0","	0","	0","	0"
"	14","	11","	6","	37","	6","	14","	14","	23","	14","	3","	3","	3","	6","	6","	26","	3","	10","	10","	5","	12","	9","	14","	4","	13","	10","	2","	4","	5","	15","	2","	4","	2","	29","	18","	2","	76","	8","	62","	10","	4","	2","	4","	11","	4","	4","	7","	1","	36","	21","	40","	135","	4","	12","	47","	14","	6","	5","	1","	5","	5","	26","	7","	7","	4"
