RowId,H 0  0  1  1  0  1 ,H 1  0  0  0  0  1 ,H 1  1  1  0  0  0 ,H 0  0  0  1  0  0 ,H 0  0  0  0  1  0 ,H 1  1  1  1  0  0 ,H 0  0  0  0  0  0 ,H 1  0  0  1  0  1 ,H 0  0  1  0  0  1 ,H 1  0  0  0  1  1 ,H 1  0  0  1  1  1 ,H 1  1  1  1  1  0 ,H 1  1  1  0  1  0 ,H 0  0  0  1  1  0 ,H 0  1  0  0  0  1 ,H 0  0  1  0  1  1 ,H 0  0  1  1  1  1 ,H 1  1  0  0  0  0 ,H 1  0  0  0  0  0 ,H 0  0  0  0  0  1 ,H 0  0  0  0  1  1 ,H 1  1  1  1  0  1 ,H 0  1  0  0  1  1 ,H 0  1  1  0  0  0 ,H 0  0  1  0  0  0 ,H 1  0  0  0  1  0 ,H 1  1  1  1  1  1 ,H 1  0  1  1  1  1 ,H 1  0  1  1  0  1 ,H 0  1  1  0  1  0 ,H 0  0  1  0  1  0 ,H 1  1  0  0  1  0 ,H 0  1  1  1  0  1 ,H 0  1  1  0  0  1 ,H 0  1  0  0  1  0 ,H 0  1  0  1  0  0 ,H 0  1  0  1  1  0 ,H 1  1  0  1  0  1 ,H 1  1  0  0  0  1 ,H 0  1  1  1  1  1 ,H 1  0  1  1  1  0 ,H 1  0  1  0  1  0 ,H 1  0  1  1  0  0 ,H 0  1  1  0  1  1 ,H 1  0  1  0  0  0 ,H 1  1  0  0  1  1 ,H 1  1  0  1  1  1 ,H 0  1  1  1  0  0 ,H 0  0  0  1  0  1 ,H 1  0  0  1  0  0 ,H 0  1  0  1  0  1 ,H 1  1  1  0  0  1 ,H 0  1  0  1  1  1 ,H 1  1  0  1  0  0 ,H 0  0  1  1  0  0 ,H 1  1  0  1  1  0 ,H 1  0  0  1  1  0 ,H 1  0  1  0  1  1 ,H 1  1  1  0  1  1 ,H 0  0  0  1  1  1 ,H 0  1  0  0  0  0 ,H 1  0  1  0  0  1 ,H 0  1  1  1  1  0 ,H 0  0  1  1  1  0 
V 0  0  1  0  0  0 ,116725,12999,6241,18979,95480,17204,83216,4117,4497,16955,18959,62827,13565,5065,6402,65377,82342,73074,4741,30690,5226,5695,21255,5891,21401,73981,26352,24034,18592,23716,11761,7335,91553,26491,3926,51801,57472,20775,7830,106601,5529,30061,7062,3714,72137,55942,16666,24155,23403,16436,18277,15384,14857,16340,18480,80501,27362,21471,20905,23297,33633,5123,104542,15005
V 0  1  1  0  0  0 ,34134,4886,1858,7346,13147,32568,33974,7959,5937,2122,14490,79987,23463,2362,1119,42251,6765,155423,3239,15919,818,8012,52475,2600,3314,9247,8322,10059,1619,2118,6583,3620,24478,7436,1799,30129,110652,10433,2631,46899,588,3255,755,2377,30406,21974,37557,11647,2296,6628,27006,9163,16735,7267,23901,111508,4551,2902,5136,38094,11544,11385,9281,10206
V 0  1  0  0  0  1 ,2120,7955,22437,7407,2469,8806,2430,32100,27142,7849,10073,2438,9108,26512,25640,2982,2115,2810,31352,7809,27069,25830,9662,26348,8576,2522,7185,7262,6482,6248,9272,24824,2049,6017,28079,3137,3125,8457,21085,2356,22889,6966,21794,32944,2552,2576,10328,8391,7196,7657,8695,9266,7749,8737,7286,2392,8213,7287,6290,8331,6678,30455,2037,10353
V 0  0  0  0  0  1 ,6367,21076,73608,18970,15997,4649,5693,15018,19206,62577,12945,2164,5235,55456,165609,4472,23880,1600,42885,14806,193240,16557,4136,57359,55962,18454,21562,16313,80198,69109,16373,49766,7403,20981,63851,5064,1781,16402,63643,5243,249320,62688,215006,49645,5643,6456,4563,16984,72318,18279,5723,14192,6543,18824,5772,1983,48716,54029,24104,5129,18630,13275,20742,14749
V 1  0  1  1  1  0 ,8052,1503,417,1833,11897,2293,6229,517,366,2127,2597,4183,1550,651,994,9519,6193,7847,813,2582,620,548,2040,508,2001,7664,1391,2830,1763,2856,1855,779,5100,2370,412,5968,5119,2097,621,9934,534,2534,790,555,7749,4913,1395,1680,1612,2321,1089,2877,1224,1308,1975,6389,3146,3369,1504,1730,2136,665,9871,1671
V 0  1  0  0  1  1 ,307,5840,37115,3793,1041,1389,387,14890,14674,14878,3733,177,1636,48262,123624,537,1163,193,48827,2299,151965,11910,994,38231,10783,1189,2689,3210,14485,12043,6014,30463,356,3072,58568,571,226,3539,29986,344,149984,8686,121745,60154,456,522,1156,2752,10723,4864,1164,5061,1570,4288,1338,177,8996,12201,3770,905,2220,12209,1022,4433
V 1  0  0  0  0  0 ,18316,11550,16783,15443,6208,63538,22666,86240,66108,4116,32302,68397,61055,17145,5917,23018,4476,93608,22215,33227,5604,69260,133014,21569,8202,5960,24178,16619,3230,3435,14963,22743,17390,12543,16186,21905,89546,24685,17582,23789,4359,6503,4573,20979,17524,16704,126221,31979,6171,12216,96327,15930,46176,23507,48543,71230,8374,4354,11898,100207,25621,90256,4700,30813
V 1  1  0  0  0  0 ,8594,6944,7823,9450,1850,195904,14404,288186,142603,1157,38737,134410,171767,12482,1731,23796,858,310936,24580,27578,1509,164079,522943,15243,2106,1497,11961,10974,696,755,13370,17563,7626,5692,10953,20507,270411,19477,8910,16634,822,1321,1037,21497,12293,10546,456850,23755,1203,7990,226796,15057,85336,16812,98011,155154,2400,1349,4961,259490,13872,330831,1052,33765
V 0  0  1  1  1  1 ,2801,2751,1667,2346,33433,308,1590,163,164,36147,1124,172,230,1985,26324,1973,35958,185,1605,1142,20306,184,129,1342,14480,25582,1223,2955,50865,66546,2143,1735,2182,4038,1529,1468,169,1480,2253,2122,28312,26202,36759,1170,2415,1918,95,961,19874,3489,103,2685,223,1133,269,213,18596,47614,3076,137,1615,175,46822,875
V 0  1  1  1  1  1 ,904,1077,509,967,4775,427,676,207,176,4344,824,164,301,939,4129,1233,3009,302,1127,648,2849,223,206,600,2211,3315,395,1290,3972,5593,1191,785,594,1150,679,888,245,697,734,961,2660,2810,3704,848,1138,791,147,443,1988,1554,129,1649,265,518,341,265,3122,6251,865,175,554,282,4288,583
V 1  0  1  1  0  0 ,75988,2139,316,3778,32326,16830,57892,989,714,1314,7382,102075,9244,480,296,80780,12410,263559,629,9568,179,1228,23682,424,1735,17576,3884,6909,894,1616,3010,755,40807,4943,284,43729,143125,5246,537,107352,137,2193,188,375,57471,31261,13252,5357,1170,3898,9173,5405,6730,2951,11946,188042,3054,2173,2779,16959,6928,1736,23077,4114
V 1  1  1  1  0  0 ,22116,840,98,1467,4426,33340,23359,1875,854,243,5575,128944,16418,209,75,51923,1067,565414,451,5131,48,1722,60035,183,274,2103,1250,2970,95,171,1736,333,10988,1336,121,25716,278918,2701,162,47453,33,254,42,237,24269,11999,29445,2578,120,1526,13731,3262,7567,1283,15573,261257,517,335,708,27806,2347,3684,2078,2812
V 0  0  0  0  1  0 ,6429,21773,80646,19132,15117,4550,5976,16616,21742,61353,13436,2299,5437,57638,164942,4419,24298,1568,43739,15355,198323,18107,4432,61379,59854,18510,24254,15950,79665,66684,16471,50536,7685,20543,69663,5321,1810,17382,66115,4947,261696,64053,215681,53290,5612,6696,5440,18592,77490,18204,6773,13980,7098,21046,5792,2030,49065,50627,25045,5818,20047,13859,19946,15985
V 1  1  1  1  1  0 ,2468,641,124,730,1755,4505,2691,855,483,328,1954,5475,2685,334,181,6314,543,17340,594,1414,128,822,5065,238,326,1019,462,1256,183,256,1111,393,1420,666,171,3765,9973,1054,205,4532,58,307,118,406,3486,2016,3141,844,175,975,1633,1808,1418,642,2580,9448,561,464,396,2944,825,1441,948,1196
V 1  0  0  1  1  1 ,502,2436,4794,1910,2118,677,491,1569,1510,8216,1698,170,655,6931,23988,774,1868,194,7183,1307,22223,1542,412,4984,5144,1984,1123,2066,7925,8482,2564,5353,471,1919,6435,674,174,1578,5050,500,21645,5401,23095,6656,665,645,419,1115,5071,2638,366,2776,577,1518,664,195,5566,8746,1788,404,1221,1682,2078,1607
V 1  1  0  1  1  1 ,171,950,1440,708,342,1265,212,3303,2015,1080,1386,196,1056,3334,3845,496,182,389,5398,698,3228,2407,1018,2295,821,319,365,862,627,806,1477,2752,134,578,2817,376,294,895,1758,274,2109,637,2427,4553,291,283,876,614,481,1118,556,1796,672,732,778,253,1002,1281,516,607,436,3905,210,1079

