RowId,H 0  0  1  1  0  1 ,H 1  0  0  0  0  1 ,H 1  1  1  0  0  0 ,H 0  0  0  1  0  0 ,H 0  0  0  0  1  0 ,H 1  1  1  1  0  0 ,H 0  0  0  0  0  0 ,H 1  0  0  1  0  1 ,H 0  0  1  0  0  1 ,H 1  0  0  0  1  1 ,H 1  0  0  1  1  1 ,H 1  1  1  1  1  0 ,H 1  1  1  0  1  0 ,H 0  0  0  1  1  0 ,H 0  1  0  0  0  1 ,H 0  0  1  0  1  1 ,H 0  0  1  1  1  1 ,H 1  1  0  0  0  0 ,H 1  0  0  0  0  0 ,H 0  0  0  0  0  1 ,H 0  0  0  0  1  1 ,H 1  1  1  1  0  1 ,H 0  1  0  0  1  1 ,H 0  1  1  0  0  0 ,H 0  0  1  0  0  0 ,H 1  0  0  0  1  0 ,H 1  1  1  1  1  1 ,H 1  0  1  1  1  1 ,H 1  0  1  1  0  1 ,H 0  1  1  0  1  0 ,H 0  0  1  0  1  0 ,H 1  1  0  0  1  0 ,H 0  1  1  1  0  1 ,H 0  1  1  0  0  1 ,H 0  1  0  0  1  0 ,H 0  1  0  1  0  0 ,H 0  1  0  1  1  0 ,H 1  1  0  1  0  1 ,H 1  1  0  0  0  1 ,H 0  1  1  1  1  1 ,H 1  0  1  1  1  0 ,H 1  0  1  0  1  0 ,H 1  0  1  1  0  0 ,H 0  1  1  0  1  1 ,H 1  0  1  0  0  0 ,H 1  1  0  0  1  1 ,H 1  1  0  1  1  1 ,H 0  1  1  1  0  0 ,H 0  0  0  1  0  1 ,H 1  0  0  1  0  0 ,H 0  1  0  1  0  1 ,H 1  1  1  0  0  1 ,H 0  1  0  1  1  1 ,H 1  1  0  1  0  0 ,H 0  0  1  1  0  0 ,H 1  1  0  1  1  0 ,H 1  0  0  1  1  0 ,H 1  0  1  0  1  1 ,H 1  1  1  0  1  1 ,H 0  0  0  1  1  1 ,H 0  1  0  0  0  0 ,H 1  0  1  0  0  1 ,H 0  1  1  1  1  0 ,H 0  0  1  1  1  0 
V 1  0  1  0  0  1 ,3916,3304,2685,3496,5028,4438,3861,3344,2828,3801,4850,3251,3610,3811,4356,5270,3460,4904,4500,4451,3505,3528,4547,3255,3838,4153,2980,4477,3206,3978,3842,4084,3230,3680,3032,4212,3893,4190,3371,4847,2977,4045,3763,3630,4377,3590,3647,3561,3215,4004,3148,4803,3074,3309,3851,4062,4753,4655,2928,3885,3852,4056,4273,4013
V 1  0  1  0  1  1 ,497,2392,4367,1805,2046,686,496,1498,1474,7056,1747,180,650,6520,20197,801,1857,263,6594,1269,18830,1521,501,4634,4548,1828,1112,1933,6884,7609,2453,4781,484,1782,6057,718,234,1694,4817,523,18506,5032,19789,6253,708,637,416,1181,4528,2598,416,2665,621,1588,691,220,5085,7703,1678,445,1194,1696,1955,1649
V 1  0  0  1  1  0 ,4005,3389,3341,3873,5168,4399,4018,3712,3185,4234,5068,3242,3665,4331,5242,4997,3837,4562,5030,4832,4382,3751,4674,3776,4532,4480,3458,4524,3692,4281,4118,4658,3297,3785,3442,4198,3813,4332,3934,4760,3544,4589,4266,4084,4191,3629,4001,3931,3822,4166,3295,4862,3078,3648,3718,3792,5323,5040,3243,3853,3966,4493,4365,4334
V 0  0  1  0  1  0 ,12628,9061,9394,8940,34292,2442,9058,1879,2262,31304,6553,2682,2292,8003,27640,7753,39769,2392,6353,8088,25150,2577,2038,7441,25517,30964,9438,9881,39613,43294,7030,7943,11521,12569,7188,7080,2237,8116,10296,10009,32230,35128,34956,5917,9820,8909,1879,7402,32128,9656,2247,7912,2764,7300,3032,3015,27809,34130,11385,2530,10054,2064,43960,5731
V 0  0  0  1  0  1 ,12135,9093,9169,9282,38167,2390,8659,1603,1941,35873,5986,2227,2110,8063,32831,7581,40894,2158,6687,7879,28868,2162,1590,7513,26606,32925,8362,10658,44508,51033,7290,8632,10501,12952,7010,6777,1905,7374,10415,9528,35381,37142,40483,5904,9213,8209,1529,6791,32803,10149,1739,8221,2414,6519,2765,2540,30276,41099,11493,2097,9495,1871,46805,5210
V 0  1  0  1  0  1 ,3684,3300,2742,3707,5477,4300,3755,3143,2650,4378,4809,2775,3445,3912,5195,5392,3524,4296,4796,4244,4169,3310,3853,3461,4058,4315,2783,4721,3615,4579,4163,4343,2890,3734,3124,4137,3469,3746,3582,4571,3337,4123,4148,3774,4114,3281,3123,3512,3224,4293,2538,5311,2763,3113,3583,3426,5078,5712,3019,3191,3523,4110,4409,3640
V 0  1  1  1  0  0 ,71835,2169,305,3821,32829,16875,55872,950,676,1360,7227,95855,9229,452,288,80880,12194,256296,707,8993,194,1163,22384,448,1688,17648,3425,6941,865,1582,3007,732,38391,4908,261,43310,138029,4980,520,104375,142,2046,178,429,55938,30176,11957,5008,1129,3854,8250,5498,6367,2762,11962,177589,2930,2352,2671,15508,6255,1665,22974,3969
V 1  1  1  0  0  1 ,1323,1301,913,1510,828,9564,1778,7901,4309,566,4167,4582,7004,2001,810,3758,376,11347,3537,2640,576,5797,12431,1599,653,634,995,2048,329,474,2417,2171,986,1142,1489,2812,8256,2319,1299,2437,309,493,496,2608,2127,1571,9205,1819,326,1798,5078,3293,3943,1705,5182,6433,832,762,802,6983,1379,10391,531,3135
V 0  1  0  1  1  1 ,453,2536,4665,1957,2230,731,483,1630,1436,8854,1856,143,718,6866,25040,787,1940,219,7471,1181,23554,1573,402,4870,5190,2102,1115,2102,8353,9020,2812,5339,435,1970,6606,700,191,1611,5038,525,22069,5306,23617,6975,695,626,416,1133,4935,2726,338,3023,584,1455,647,202,5649,9566,1829,376,1164,1760,2109,1644
V 1  0  0  1  0  0 ,35315,4741,2092,7701,13760,31499,34914,8250,6083,2350,15090,75538,22467,2507,1257,40788,7478,143777,3413,17741,890,8486,52212,2879,3795,10110,9435,10626,1762,2365,6658,4006,25458,7757,1918,29710,103446,11009,2969,48144,740,3688,960,2622,29734,21704,37819,12872,2770,6768,28064,8986,16550,7987,22880,105277,5064,3292,5604,38296,12871,11531,10202,10844
V 0  0  1  1  0  0 ,366935,8800,1465,15094,362969,13600,205240,1089,1018,15450,14423,111606,8296,1496,2406,185587,225959,178164,1607,26011,1567,1485,13737,1476,16158,213906,16213,25116,16122,27335,8698,2277,215919,26521,1014,109632,105721,14858,2242,348124,1448,28121,2376,1098,196044,116336,8403,15504,16720,14361,8917,13916,8570,9008,13949,188025,26787,26081,15845,14721,27121,1591,384317,8736
V 1  1  0  1  0  0 ,11238,1964,722,3228,2287,66707,15278,18754,9045,413,12271,105219,43540,1326,276,28698,733,335486,2696,9998,198,13696,144566,1375,643,1455,3212,4805,217,323,4142,2157,7333,2334,887,18936,219837,6035,1038,23229,109,519,179,1784,14007,9070,94561,6752,322,2924,44945,6063,21067,3886,32105,159221,971,615,1572,68864,4834,28369,1016,8252
V 0  0  1  0  1  1 ,1577,6471,13933,4568,14044,505,1133,841,1065,63830,2151,214,515,13839,137130,1168,20699,223,9491,2310,138170,1157,254,9831,30619,14287,3271,4490,92765,91133,4507,9603,1548,6510,14027,1152,188,3215,13850,1038,204092,44377,199628,9555,1645,1540,286,2240,44611,6447,298,4607,603,3104,632,181,30534,62690,6452,312,3198,899,20464,2266
V 0  0  0  1  1  0 ,12185,9188,10326,9889,36920,2405,9033,1917,2220,35789,6408,2512,2228,8524,32876,7664,42545,2222,6828,8313,29978,2437,1915,8173,28357,33767,9445,10520,45414,49658,7413,8885,11264,13034,7918,7139,2141,7915,11073,9849,37848,38869,41113,6387,9368,8589,1729,7706,35445,10241,2138,8199,2598,7228,2795,2705,30884,39264,12112,2256,10268,2003,46848,5860
V 1  1  1  0  1  0 ,1418,1443,993,1548,855,9993,1932,9162,5142,577,4503,5251,7696,2164,843,4062,364,12237,3989,2844,604,6745,14160,1783,739,672,1198,2134,334,434,2627,2407,1041,1159,1597,2939,9260,2612,1352,2594,331,522,477,2885,2248,1753,11064,2160,409,1942,6054,3299,4393,1962,5714,6760,1003,711,939,8092,1716,11895,485,3606
V 0  1  1  0  1  1 ,470,2438,4187,1858,2110,811,469,1505,1405,7410,1702,193,666,6487,20206,765,1715,243,6875,1167,18680,1522,435,4400,4607,1923,1052,2001,7004,7771,2587,4766,413,1832,5769,681,223,1556,4533,549,17892,4699,19345,6198,665,600,417,1132,4273,2545,307,2844,633,1453,674,210,4883,8068,1655,408,1114,1615,1964,1568
V 1  0  1  0  1  0 ,4057,3411,3026,3503,4848,4528,3921,3731,3121,3794,5297,3754,3973,3977,4306,5411,3544,5190,4679,4827,3672,3847,4998,3439,4021,4111,3425,4277,3229,3735,3985,4024,3383,3580,3427,4295,4177,4604,3744,4758,3052,4155,3813,3890,4485,3771,4228,3987,3582,4132,3584,4795,3200,3721,3936,4398,4888,4409,3109,4446,4100,4557,4157,4275
V 1  0  1  0  0  0 ,35897,4828,2016,7247,12859,32497,34818,8383,6258,2103,14824,85662,23321,2399,1128,42067,6821,160238,3196,17244,812,8516,56658,2710,3324,9341,9119,10227,1498,2161,6426,3659,25936,7437,1791,30302,115535,11087,2686,48509,652,3498,874,2326,31313,22388,40196,12271,2532,6685,29823,8712,17407,8004,24114,119015,4739,2788,5355,42031,12988,11608,9551,11012
V 1  0  0  0  1  1 ,336,5887,39972,3766,1093,1419,383,15549,15779,14348,3803,198,1591,49010,123993,564,1209,232,48631,2544,154104,12828,1032,39707,11367,1274,2986,3205,14368,11881,5911,32016,396,3192,60637,596,216,3714,32213,368,155810,9204,125847,60675,486,568,1318,2948,11322,4870,1226,4872,1551,4547,1383,220,9335,11826,3763,1000,2462,12560,1010,4588
V 1  1  0  0  1  1 ,92,2211,11818,1492,216,2655,204,34305,22669,1882,2844,212,2703,23667,19309,376,143,264,35829,1311,21421,19910,2428,18033,1670,217,985,1414,1262,1178,3380,15985,112,959,26339,407,306,1965,10554,172,14185,1087,12370,40089,212,273,2802,1459,1237,2027,1777,3013,1881,2176,1631,209,1593,1707,993,1626,914,30448,161,3372
V 0  0  0  1  0  0 ,111662,13111,6367,19996,99512,15893,81494,4138,4357,19075,18483,54618,12657,5211,7543,61859,84866,63969,4784,30818,5942,5334,19378,6027,23579,77670,25971,24970,20331,26532,11985,7677,88069,26857,4162,48848,50827,20333,8410,102668,6532,32020,8009,3938,67494,52755,15288,24179,25099,16524,16609,15261,13561,15741,17181,69541,29632,24103,21323,20880,33334,5053,107318,14738
V 0  0  1  0  0  1 ,12314,8686,8387,8824,35553,2445,8513,1753,1902,31225,6102,2434,2081,7650,27881,7857,39016,2388,6156,7726,24140,2323,1829,7014,23810,30890,8256,9991,39535,45234,7010,7950,10616,12632,6616,6793,2128,7414,9748,10030,30217,34263,34733,5378,9499,8426,1662,6874,29654,9757,1863,7982,2549,6416,2949,2861,27357,36344,10937,2240,9362,1972,44222,5325
V 0  0  0  0  0  0 ,53931,29592,49040,37776,39306,30381,49462,36396,40679,31482,37714,46925,31801,32520,34533,32776,46348,39603,28977,54475,36162,39652,45900,43243,47031,40931,64189,36198,35227,33784,26337,42098,56052,41123,33650,34052,41002,42659,46879,47355,40440,51074,39030,29947,37272,38685,47534,56969,53526,28284,53435,25364,35717,44366,33859,44788,45724,29821,42855,51734,62002,34664,44110,38978
V 1  0  0  1  0  1 ,4141,3556,3151,3873,5677,4422,3985,3493,2935,4442,5095,3051,3655,4143,5386,5224,3913,4521,5079,4735,4365,3494,4381,3731,4519,4493,3133,4785,3682,4597,4150,4627,3332,3876,3286,4332,3649,4206,3812,4931,3611,4681,4657,4189,4369,3570,3471,3933,3658,4412,2879,5173,2877,3467,3777,3838,5544,5715,3204,3732,3949,4315,4732,4154
V 1  1  1  0  0  0 ,11628,1945,625,2975,2052,70263,15758,19246,9406,356,12686,119542,45942,1242,231,30133,702,379224,2567,9975,179,14205,157319,1294,640,1452,3257,4496,232,324,3904,1962,7644,2323,837,19661,247087,6192,953,23908,121,462,122,1703,14537,9365,103279,6556,338,2932,50142,5921,22522,4075,34117,183317,930,502,1479,75825,4858,29344,1052,8327
