
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 0  1  0  0  1  0  1  0  0  0  0  0 ,	45,	200,	77,	3,	4,	113,	728,	3,	22,	9,	8,	11,	34,	13,	4,	6,	12,	29,	18,	25,	5,	6,	15,	43,	8,	66,	3259,	1901,	8,	6,	13,	61,	43,	10,	31,	7,	12,	4,	285,	78,	409,	14,	29,	115,	740,	6,	8,	12,	269,	88,	1352,	150,	18,	7,	47,	41,	14,	52,	14,	6,	116,	5,	18,	10,	
V 0  1  0  1  0  0  1  0  1  0  0  0 ,	42,	55,	1,	27,	14,	6,	14,	1,	27,	14,	8,	6,	140,	7,	2,	21,	5,	4,	11,	23,	5,	6,	2,	95,	2,	4,	8,	8,	0,	7,	2,	9,	30,	13,	6,	3,	9,	3,	45,	15,	33,	13,	5,	10,	12,	5,	3,	1,	7,	6,	9,	12,	13,	4,	1,	64,	40,	7,	5,	6,	1,	12,	4,	16,	
V 0  1  0  1  0  1  0  0  0  1  1  0 ,	51,	3,	8,	45,	4,	4,	2,	3,	2,	7,	16,	3,	15,	9,	13,	17,	2,	5,	3,	5,	0,	5,	6,	49,	0,	4,	5,	1,	0,	2,	1,	1,	13,	38,	3,	2,	10,	4,	3,	0,	3,	3,	5,	1,	2,	6,	3,	3,	0,	6,	1,	4,	4,	19,	0,	14,	11,	2,	4,	2,	3,	19,	0,	9,	
V 0  0  1  1  1  1  1  0  0  1  1  1 ,	3,	0,	1,	3,	0,	3,	1,	0,	2,	0,	0,	0,	0,	0,	1,	1,	2,	3,	0,	0,	2,	0,	0,	2,	0,	1,	3,	0,	0,	0,	0,	0,	6,	2,	0,	0,	0,	3,	0,	0,	3,	0,	6,	0,	2,	3,	0,	0,	0,	3,	0,	1,	0,	2,	0,	0,	2,	0,	0,	1,	2,	0,	1,	1,	
V 0  1  0  0  0  0  0  0  0  1  1  0 ,	250,	6,	5,	564,	145,	14,	5,	55,	7,	85,	787,	38,	23,	61,	4009,	182,	7,	21,	9,	9,	11,	696,	73,	134,	13,	10,	8,	9,	5,	17,	69,	5,	22,	1054,	20,	12,	37,	285,	2,	10,	10,	21,	37,	8,	13,	102,	40,	158,	24,	9,	7,	10,	6,	2125,	3,	40,	95,	2,	19,	21,	7,	401,	15,	355,	
V 0  0  0  1  0  0  0  0  1  1  0  0 ,	182,	8,	16,	410,	106,	9,	1,	39,	13,	67,	518,	23,	20,	42,	2471,	143,	8,	21,	6,	12,	14,	492,	69,	98,	6,	8,	5,	12,	9,	20,	50,	3,	19,	783,	18,	16,	48,	146,	8,	4,	13,	13,	26,	6,	16,	69,	24,	111,	23,	9,	3,	14,	8,	1368,	2,	42,	94,	5,	7,	13,	15,	312,	26,	254,	
V 1  1  0  0  1  1  0  1  1  0  0  1 ,	5,	2,	3,	6,	1,	1,	6,	1,	2,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	2,	0,	0,	4,	6,	1,	1,	15,	6,	0,	1,	1,	0,	4,	1,	2,	1,	0,	1,	2,	0,	7,	1,	1,	1,	9,	0,	0,	2,	3,	7,	2,	1,	1,	1,	0,	0,	2,	1,	6,	0,	1,	0,	1,	1,	
V 0  0  1  0  1  0  1  0  0  1  1  1 ,	18,	2,	2,	7,	1,	11,	0,	4,	2,	1,	24,	3,	0,	8,	167,	3,	2,	3,	0,	1,	26,	1,	52,	0,	1,	3,	4,	3,	0,	0,	24,	2,	8,	49,	6,	1,	6,	95,	1,	0,	1,	1,	10,	0,	1,	26,	1,	15,	15,	10,	0,	3,	0,	12,	1,	0,	1,	0,	1,	2,	10,	3,	11,	1,	
V 1  0  0  1  0  0  1  0  0  1  1  0 ,	37,	4,	3,	40,	2,	2,	4,	2,	8,	10,	14,	1,	18,	4,	16,	12,	2,	7,	0,	3,	2,	3,	8,	37,	2,	1,	3,	3,	3,	3,	1,	5,	4,	35,	5,	0,	5,	1,	3,	2,	6,	3,	4,	0,	5,	5,	0,	5,	5,	5,	2,	7,	6,	11,	4,	12,	15,	2,	2,	4,	0,	11,	4,	6,	
V 1  0  1  0  0  0  0  0  0  0  0  1 ,	144,	155,	6,	319,	193,	4,	22,	5,	118,	839,	31,	8,	3165,	11,	20,	411,	8,	18,	56,	31,	3,	121,	6,	577,	25,	12,	10,	13,	5,	10,	6,	16,	30,	86,	3,	10,	12,	5,	55,	74,	47,	35,	13,	22,	11,	10,	8,	6,	6,	13,	5,	20,	20,	87,	2,	771,	1662,	5,	37,	16,	4,	166,	10,	410,	
