
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 0  1  0  1  1  0  0  1  1  0  1  1 ,	10,	2,	2,	6,	1,	4,	1,	0,	0,	0,	2,	2,	0,	1,	3,	1,	0,	0,	0,	0,	1,	2,	5,	1,	0,	4,	1,	1,	1,	1,	1,	2,	7,	9,	4,	0,	4,	2,	1,	0,	1,	1,	3,	0,	0,	1,	0,	0,	2,	5,	1,	2,	3,	4,	0,	0,	0,	0,	1,	0,	1,	2,	1,	0,	
V 1  0  0  0  1  1  0  1  0  0  1  1 ,	8,	2,	6,	2,	0,	49,	2,	0,	1,	1,	4,	0,	0,	7,	2,	0,	2,	4,	1,	2,	16,	0,	13,	1,	1,	4,	178,	33,	2,	1,	6,	1,	8,	7,	3,	0,	5,	7,	1,	3,	5,	5,	9,	0,	33,	3,	1,	3,	52,	8,	2,	8,	3,	2,	3,	1,	4,	4,	2,	0,	35,	3,	11,	0,	
V 0  0  1  1  1  1  1  0  0  1  1  0 ,	9,	3,	1,	2,	0,	6,	3,	0,	3,	0,	0,	1,	1,	1,	2,	0,	0,	2,	0,	1,	1,	0,	1,	2,	1,	1,	17,	8,	1,	1,	2,	1,	3,	2,	2,	0,	1,	1,	1,	1,	4,	0,	3,	0,	20,	3,	0,	1,	11,	3,	1,	2,	0,	0,	0,	1,	0,	2,	0,	0,	0,	1,	1,	1,	
V 0  1  1  0  1  1  0  1  0  1  1  1 ,	4,	0,	1,	3,	0,	4,	0,	0,	2,	0,	1,	1,	0,	1,	2,	0,	1,	1,	0,	1,	0,	0,	3,	1,	0,	0,	1,	0,	0,	0,	1,	1,	2,	6,	0,	0,	1,	0,	0,	0,	3,	1,	1,	0,	3,	1,	0,	0,	1,	2,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	
V 1  1  1  0  0  0  1  0  1  1  1  1 ,	7,	0,	0,	106,	2,	1,	0,	0,	2,	1,	16,	0,	4,	2,	212,	7,	1,	1,	0,	1,	1,	12,	0,	6,	0,	1,	1,	0,	1,	3,	0,	0,	3,	104,	1,	0,	5,	0,	0,	0,	1,	1,	0,	1,	0,	1,	0,	0,	0,	0,	0,	2,	0,	208,	1,	2,	14,	0,	0,	0,	0,	15,	2,	20,	
V 0  0  1  0  1  1  0  0  1  1  1  0 ,	12,	0,	6,	9,	2,	6,	1,	0,	1,	1,	41,	7,	0,	8,	130,	1,	1,	4,	0,	3,	29,	2,	40,	5,	1,	1,	2,	5,	2,	3,	21,	2,	5,	58,	8,	2,	9,	93,	0,	1,	3,	2,	16,	1,	7,	33,	2,	11,	18,	5,	1,	1,	0,	18,	0,	2,	1,	0,	2,	0,	7,	5,	6,	2,	
V 1  1  0  0  1  1  0  1  1  0  0  0 ,	7,	13,	3,	1,	1,	14,	25,	0,	16,	1,	0,	1,	1,	2,	0,	1,	1,	2,	4,	3,	3,	0,	2,	2,	2,	4,	183,	122,	1,	1,	0,	7,	12,	3,	2,	0,	3,	0,	21,	4,	69,	3,	5,	3,	74,	1,	0,	0,	17,	8,	32,	12,	1,	0,	4,	3,	0,	2,	2,	1,	0,	2,	2,	2,	
V 0  0  0  0  1  0  0  1  0  1  1  0 ,	42,	2,	58,	16,	3,	663,	3,	10,	5,	1,	79,	52,	3,	49,	123,	2,	4,	12,	3,	9,	1212,	4,	443,	6,	4,	6,	434,	37,	16,	6,	533,	7,	15,	83,	101,	4,	11,	849,	3,	3,	6,	2,	83,	6,	76,	159,	8,	76,	303,	49,	7,	21,	4,	14,	6,	1,	0,	4,	2,	4,	778,	9,	98,	6,	
V 0  1  1  0  1  0  1  1  1  0  0  1 ,	9,	4,	2,	0,	1,	1,	2,	1,	0,	2,	1,	0,	0,	1,	1,	0,	1,	0,	0,	2,	1,	2,	3,	3,	0,	3,	12,	7,	0,	1,	0,	3,	3,	2,	2,	0,	2,	0,	0,	0,	8,	1,	2,	0,	11,	0,	0,	0,	13,	10,	1,	1,	1,	1,	0,	0,	1,	3,	1,	1,	1,	1,	1,	0,	
V 1  1  0  1  1  1  1  1  0  0  0  0 ,	1,	1316,	3,	2,	0,	2,	4532,	0,	10,	0,	0,	0,	8,	0,	0,	1,	2,	2,	5,	6,	1,	1,	0,	7,	0,	7,	1138,	2880,	0,	0,	0,	14,	5,	0,	0,	0,	0,	0,	489,	32,	815,	0,	0,	12,	292,	1,	1,	0,	11,	10,	1713,	20,	0,	0,	4,	7,	3,	5,	1,	2,	0,	0,	2,	0,	
V 1  0  1  0  0  0  0  0  1  0  0  1 ,	88,	11,	3,	433,	77,	5,	2,	4,	17,	202,	99,	5,	204,	18,	205,	230,	1,	6,	7,	15,	1,	258,	6,	221,	5,	4,	3,	5,	1,	11,	6,	3,	13,	230,	6,	6,	15,	5,	6,	5,	13,	8,	12,	2,	4,	8,	7,	8,	1,	6,	1,	6,	11,	495,	3,	104,	497,	5,	10,	4,	1,	195,	5,	511,	
V 1  0  1  0  1  1  0  1  0  1  1  0 ,	4,	3,	1,	5,	0,	7,	3,	0,	3,	0,	0,	1,	1,	0,	2,	1,	1,	1,	1,	2,	0,	0,	4,	4,	1,	0,	21,	5,	0,	1,	0,	1,	6,	3,	4,	0,	2,	4,	0,	1,	4,	0,	9,	1,	9,	3,	0,	1,	6,	2,	1,	3,	0,	0,	0,	0,	0,	1,	0,	0,	1,	1,	2,	0,	
V 1  0  1  1  0  1  0  0  1  0  0  1 ,	17,	22,	0,	38,	1,	1,	1,	0,	13,	15,	1,	1,	175,	2,	2,	15,	2,	1,	5,	3,	0,	6,	1,	79,	3,	2,	1,	1,	1,	1,	0,	1,	9,	11,	0,	0,	2,	1,	5,	2,	8,	4,	2,	3,	6,	4,	2,	0,	0,	5,	0,	2,	1,	7,	0,	40,	83,	0,	1,	1,	0,	11,	2,	6,	
V 1  0  0  1  0  1  0  1  1  0  1  1 ,	5,	0,	1,	2,	0,	2,	0,	0,	3,	2,	4,	3,	0,	4,	6,	0,	0,	2,	0,	2,	0,	2,	2,	0,	0,	1,	1,	1,	2,	0,	0,	1,	4,	10,	1,	1,	2,	2,	0,	0,	4,	0,	8,	1,	0,	1,	0,	2,	2,	1,	0,	1,	0,	6,	2,	0,	2,	1,	0,	2,	3,	2,	5,	0,	
V 1  1  0  0  1  0  1  0  0  1  0  1 ,	16,	5,	3,	4,	2,	4,	2,	1,	4,	1,	2,	0,	3,	6,	7,	1,	1,	3,	1,	4,	2,	0,	3,	10,	0,	1,	2,	1,	0,	3,	1,	3,	4,	9,	3,	1,	2,	0,	4,	2,	7,	3,	6,	3,	7,	1,	1,	3,	2,	2,	2,	0,	1,	1,	0,	3,	6,	0,	0,	1,	1,	6,	2,	0,	
V 0  1  0  0  0  0  0  0  1  1  1  1 ,	87,	8,	15,	1505,	50,	38,	2,	104,	10,	8,	5104,	49,	9,	66,	637025,	78,	6,	28,	7,	11,	67,	4680,	241,	40,	4,	13,	12,	17,	4,	16,	130,	9,	41,	9662,	29,	5,	175,	10414,	4,	3,	11,	19,	42,	2,	15,	803,	22,	1680,	18,	31,	1,	16,	6,	91878,	5,	4,	18,	2,	10,	8,	7,	740,	52,	701,	
V 0  1  1  1  0  1  0  1  0  0  1  0 ,	7,	160,	1,	5,	0,	3,	16,	0,	18,	1,	0,	1,	141,	2,	0,	5,	1,	1,	7,	7,	1,	2,	1,	52,	1,	1,	1,	5,	1,	3,	0,	6,	13,	4,	0,	0,	4,	0,	36,	6,	52,	3,	6,	2,	15,	0,	0,	2,	1,	3,	4,	4,	3,	1,	2,	24,	6,	3,	4,	0,	1,	2,	3,	1,	
V 1  0  0  1  0  0  0  1  0  0  0  1 ,	52,	80,	5,	30,	4,	3,	15,	2,	38,	17,	10,	2,	198,	2,	4,	14,	2,	6,	11,	20,	6,	3,	8,	90,	4,	5,	2,	12,	3,	1,	2,	8,	21,	12,	0,	3,	5,	2,	35,	23,	34,	4,	4,	8,	20,	4,	2,	7,	4,	8,	7,	12,	8,	6,	1,	83,	35,	4,	11,	5,	4,	13,	4,	9,	
V 1  1  0  1  0  0  1  0  1  1  0  0 ,	13,	12,	0,	27,	3,	2,	2,	0,	7,	18,	2,	0,	108,	3,	1,	19,	1,	4,	1,	6,	0,	4,	1,	66,	0,	4,	0,	2,	3,	0,	1,	2,	6,	13,	1,	0,	0,	1,	6,	2,	8,	3,	3,	2,	2,	3,	0,	1,	1,	1,	1,	1,	0,	5,	1,	31,	60,	0,	1,	0,	0,	7,	0,	6,	
V 0  1  0  0  1  1  0  0  0  1  1  1 ,	13,	2,	8,	6,	3,	13,	1,	1,	2,	0,	27,	6,	1,	9,	128,	1,	2,	1,	1,	4,	18,	1,	36,	2,	0,	2,	6,	1,	2,	2,	24,	3,	2,	61,	5,	1,	9,	78,	0,	0,	2,	4,	10,	0,	5,	29,	0,	24,	17,	7,	1,	0,	0,	17,	3,	2,	1,	2,	1,	0,	11,	3,	15,	0,	
V 0  1  0  1  1  1  1  0  1  0  0  1 ,	4,	0,	0,	2,	0,	3,	5,	1,	2,	1,	0,	1,	1,	4,	1,	0,	2,	2,	0,	0,	1,	0,	0,	0,	1,	1,	14,	7,	0,	2,	1,	2,	6,	2,	1,	0,	1,	0,	3,	0,	7,	1,	7,	1,	11,	1,	0,	2,	5,	3,	0,	2,	0,	0,	0,	0,	2,	1,	1,	0,	3,	1,	0,	0,	
V 0  0  1  1  0  0  0  1  1  0  0  0 ,	54,	74,	3,	31,	10,	4,	13,	1,	32,	19,	5,	2,	121,	4,	1,	29,	0,	4,	14,	11,	0,	2,	3,	85,	9,	5,	1,	12,	3,	10,	2,	10,	15,	11,	7,	1,	6,	2,	32,	19,	42,	8,	9,	8,	27,	7,	5,	3,	8,	11,	8,	8,	3,	7,	2,	83,	43,	3,	10,	4,	4,	10,	4,	8,	
V 0  1  0  1  1  1  1  1  1  1  1  0 ,	0,	1,	1,	0,	1,	11,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	2,	0,	3,	1,	0,	0,	12,	3,	0,	0,	0,	0,	4,	0,	0,	0,	2,	1,	1,	0,	0,	0,	2,	0,	4,	0,	0,	1,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	2,	0,	0,	1,	
V 1  1  1  1  0  0  1  1  0  0  0  0 ,	9,	41843,	1,	3,	3,	1,	1378,	0,	302,	9,	0,	0,	17243,	1,	0,	8,	1,	0,	45,	16,	0,	0,	0,	256,	0,	2,	2,	13,	2,	3,	0,	25,	10,	0,	1,	0,	2,	0,	1571,	548,	622,	4,	5,	22,	25,	1,	1,	1,	0,	1,	62,	9,	2,	3,	0,	641,	75,	5,	9,	0,	0,	1,	1,	3,	
V 1  1  0  0  1  1  0  1  0  0  0  0 ,	15,	556,	6,	2,	0,	17,	2061,	2,	23,	2,	0,	2,	14,	5,	1,	2,	2,	8,	13,	17,	2,	1,	5,	11,	0,	10,	2060,	2632,	2,	2,	0,	37,	15,	1,	3,	1,	4,	0,	406,	48,	608,	6,	5,	35,	476,	5,	3,	1,	48,	19,	1650,	52,	4,	0,	11,	6,	4,	16,	4,	3,	8,	2,	2,	2,	
V 1  0  1  1  0  1  0  1  1  1  1  0 ,	3,	3,	1,	7,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	0,	2,	0,	1,	0,	1,	1,	0,	0,	6,	0,	0,	1,	1,	0,	0,	0,	0,	2,	7,	1,	0,	1,	1,	2,	0,	0,	4,	0,	3,	1,	1,	0,	0,	0,	1,	0,	2,	1,	1,	0,	1,	2,	0,	0,	0,	2,	0,	1,	0,	
V 0  1  1  0  1  0  1  0  1  1  0  0 ,	16,	6,	0,	8,	0,	0,	2,	1,	5,	1,	3,	2,	4,	4,	1,	2,	2,	2,	1,	3,	1,	0,	1,	7,	1,	1,	2,	6,	3,	1,	1,	6,	4,	6,	2,	0,	6,	1,	2,	1,	9,	2,	7,	0,	11,	3,	0,	2,	8,	2,	4,	2,	0,	1,	1,	3,	4,	1,	5,	1,	1,	0,	3,	1,	
V 1  0  0  0  0  1  1  1  1  0  1  1 ,	4,	0,	1,	1,	1,	14,	0,	0,	1,	0,	2,	2,	1,	3,	5,	0,	1,	4,	2,	1,	27,	0,	28,	1,	0,	0,	11,	3,	3,	0,	10,	3,	4,	7,	6,	1,	3,	18,	0,	1,	2,	4,	7,	0,	5,	3,	0,	8,	13,	6,	1,	1,	0,	1,	0,	0,	0,	1,	2,	0,	15,	3,	8,	2,	
V 1  0  1  1  1  1  1  1  1  0  0  0 ,	1,	41,	0,	0,	0,	1,	51,	0,	4,	0,	0,	1,	0,	0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	2,	0,	2,	85,	115,	0,	0,	0,	6,	2,	0,	0,	0,	2,	0,	17,	3,	88,	0,	2,	2,	49,	0,	1,	0,	0,	1,	32,	3,	0,	0,	0,	1,	0,	1,	1,	0,	0,	1,	0,	0,	
V 1  1  1  0  0  0  1  1  1  0  1  0 ,	8,	3,	0,	5,	0,	2,	2,	1,	6,	3,	2,	0,	12,	4,	0,	1,	2,	2,	2,	1,	0,	1,	0,	16,	1,	0,	0,	1,	0,	3,	0,	0,	4,	2,	0,	0,	3,	0,	3,	1,	9,	1,	3,	0,	4,	0,	0,	1,	0,	2,	1,	2,	1,	2,	0,	2,	2,	0,	0,	0,	0,	2,	0,	1,	
V 0  0  1  0  1  0  0  1  0  0  0  1 ,	29,	7,	17,	9,	1,	57,	15,	6,	14,	0,	5,	10,	6,	11,	5,	5,	6,	10,	8,	9,	14,	1,	15,	14,	2,	11,	235,	84,	4,	3,	14,	8,	15,	9,	17,	6,	8,	4,	14,	10,	42,	7,	26,	10,	95,	10,	4,	4,	77,	26,	22,	27,	7,	7,	8,	4,	4,	2,	7,	4,	29,	6,	10,	5,	
V 0  1  0  1  0  1  0  0  1  1  1  1 ,	15,	2,	1,	78,	2,	3,	0,	1,	2,	2,	82,	2,	1,	5,	1910,	7,	3,	1,	0,	0,	3,	16,	13,	7,	0,	0,	0,	1,	0,	3,	3,	1,	5,	300,	1,	0,	5,	32,	0,	0,	2,	1,	4,	0,	1,	17,	0,	12,	2,	3,	0,	0,	1,	529,	0,	0,	4,	0,	0,	4,	1,	29,	5,	13,	
V 1  0  1  0  0  0  0  1  1  1  1  0 ,	19,	0,	3,	62,	8,	1,	1,	1,	2,	1,	24,	3,	4,	7,	199,	9,	3,	0,	2,	3,	3,	10,	7,	15,	0,	2,	2,	4,	1,	2,	3,	4,	10,	112,	4,	1,	4,	14,	2,	3,	3,	2,	4,	1,	3,	7,	2,	11,	2,	2,	1,	3,	1,	107,	0,	3,	7,	1,	1,	1,	2,	22,	3,	9,	
V 0  1  1  1  0  1  0  1  0  0  1  1 ,	11,	8,	1,	8,	0,	0,	5,	0,	4,	0,	0,	0,	9,	0,	0,	0,	1,	2,	1,	1,	1,	0,	1,	19,	0,	0,	0,	0,	0,	2,	0,	1,	8,	2,	0,	0,	2,	0,	1,	4,	8,	3,	0,	1,	2,	2,	1,	0,	2,	0,	2,	0,	0,	1,	0,	3,	2,	3,	0,	1,	1,	0,	0,	1,	
V 1  0  1  1  0  1  0  0  1  0  0  0 ,	34,	470,	2,	39,	6,	6,	16,	0,	73,	55,	0,	0,	2282,	4,	2,	29,	2,	7,	22,	15,	1,	1,	3,	245,	3,	3,	2,	2,	2,	1,	1,	12,	8,	7,	2,	1,	5,	0,	55,	46,	41,	6,	5,	7,	10,	1,	1,	0,	0,	1,	4,	9,	3,	4,	1,	308,	237,	2,	17,	4,	0,	11,	1,	7,	
V 1  0  1  0  0  0  0  0  1  0  0  0 ,	214,	161,	7,	283,	218,	1,	21,	6,	77,	751,	39,	11,	2835,	23,	33,	407,	16,	21,	50,	32,	3,	119,	6,	554,	23,	8,	9,	5,	1,	27,	3,	8,	28,	99,	2,	9,	12,	6,	62,	76,	47,	35,	18,	17,	18,	13,	10,	6,	13,	9,	6,	18,	22,	94,	6,	763,	1499,	7,	57,	18,	3,	151,	4,	386,	
V 1  1  0  0  1  0  1  0  0  1  0  0 ,	21,	33,	2,	5,	2,	3,	17,	1,	8,	1,	1,	0,	20,	1,	2,	7,	2,	4,	6,	10,	3,	1,	1,	14,	2,	2,	21,	26,	2,	1,	3,	9,	11,	3,	0,	1,	4,	2,	23,	11,	38,	3,	4,	10,	45,	0,	7,	2,	12,	10,	12,	13,	4,	1,	4,	12,	8,	1,	6,	2,	1,	2,	5,	3,	
V 0  1  0  0  0  0  0  0  1  1  1  0 ,	133,	2,	6,	822,	78,	7,	1,	67,	4,	30,	1958,	39,	5,	52,	50275,	114,	6,	8,	4,	6,	31,	1783,	118,	42,	5,	2,	7,	5,	4,	17,	81,	5,	22,	3243,	12,	4,	71,	1671,	2,	1,	6,	3,	23,	4,	5,	264,	25,	445,	16,	9,	3,	9,	3,	12856,	0,	5,	23,	0,	6,	6,	5,	554,	15,	437,	
V 1  0  0  1  0  0  0  1  0  0  0  0 ,	72,	3360,	4,	13,	17,	3,	641,	3,	197,	63,	8,	3,	2682,	8,	7,	37,	7,	17,	114,	60,	6,	4,	8,	304,	18,	27,	21,	78,	4,	8,	0,	55,	33,	9,	5,	9,	8,	4,	829,	470,	422,	15,	13,	128,	88,	3,	6,	3,	21,	8,	148,	56,	29,	7,	10,	642,	139,	27,	38,	15,	4,	9,	4,	14,	
V 0  1  1  0  0  1  1  0  1  1  0  1 ,	6,	1,	3,	6,	1,	3,	0,	1,	0,	0,	4,	0,	2,	2,	17,	1,	1,	1,	1,	0,	2,	0,	7,	5,	0,	0,	1,	2,	1,	1,	1,	0,	4,	16,	1,	0,	5,	2,	0,	0,	4,	4,	7,	1,	4,	7,	0,	2,	1,	1,	0,	1,	0,	5,	0,	2,	1,	0,	1,	0,	0,	0,	0,	1,	
V 0  0  1  1  0  0  0  1  1  0  0  1 ,	28,	5,	2,	41,	4,	4,	0,	1,	4,	6,	7,	1,	12,	3,	12,	7,	2,	9,	5,	6,	2,	4,	2,	30,	2,	2,	5,	3,	1,	1,	1,	3,	16,	25,	4,	2,	7,	4,	4,	1,	8,	8,	7,	2,	3,	3,	1,	4,	1,	11,	1,	6,	0,	18,	3,	11,	21,	2,	9,	3,	0,	14,	0,	6,	
V 0  0  1  1  1  1  1  0  1  1  1  1 ,	3,	0,	0,	1,	0,	2,	0,	0,	0,	0,	3,	0,	0,	1,	5,	0,	1,	3,	0,	1,	2,	1,	6,	0,	0,	1,	0,	1,	0,	0,	0,	1,	1,	5,	1,	0,	1,	4,	0,	0,	1,	0,	3,	0,	0,	4,	0,	1,	2,	2,	0,	2,	0,	1,	0,	0,	1,	0,	0,	1,	0,	0,	1,	0,	
V 1  0  1  0  0  0  0  1  1  1  1  1 ,	10,	0,	0,	100,	1,	0,	1,	2,	1,	2,	92,	1,	1,	4,	2166,	7,	1,	1,	0,	1,	2,	33,	7,	3,	0,	0,	0,	0,	0,	0,	0,	0,	6,	312,	1,	2,	12,	31,	1,	1,	1,	0,	6,	1,	1,	10,	0,	19,	0,	4,	1,	0,	0,	687,	0,	1,	4,	0,	1,	0,	1,	28,	4,	14,	
V 1  1  0  1  1  0  0  0  0  1  0  1 ,	16,	18,	1,	34,	3,	1,	2,	1,	10,	13,	5,	0,	169,	2,	2,	14,	0,	4,	2,	1,	0,	5,	0,	66,	3,	1,	2,	2,	2,	2,	1,	3,	4,	7,	4,	0,	0,	0,	8,	1,	11,	4,	4,	1,	4,	2,	2,	0,	2,	5,	0,	0,	0,	6,	0,	36,	83,	1,	3,	1,	1,	6,	1,	9,	
V 0  0  1  0  1  0  1  0  1  1  1  1 ,	11,	0,	4,	10,	0,	10,	0,	1,	1,	0,	65,	6,	0,	7,	1510,	0,	0,	3,	1,	1,	41,	1,	68,	0,	1,	0,	1,	1,	3,	2,	27,	0,	3,	167,	4,	0,	10,	601,	0,	0,	0,	2,	13,	0,	1,	59,	2,	47,	3,	1,	0,	1,	0,	75,	0,	0,	1,	0,	0,	0,	4,	6,	8,	0,	
V 1  1  0  0  0  1  1  1  1  0  0  0 ,	5,	10,	9,	0,	0,	10,	26,	1,	9,	0,	2,	1,	3,	3,	1,	1,	1,	10,	4,	5,	1,	2,	1,	3,	0,	2,	156,	110,	0,	1,	0,	5,	6,	0,	3,	0,	5,	1,	10,	3,	48,	3,	4,	6,	71,	0,	1,	0,	13,	8,	31,	10,	0,	1,	2,	3,	3,	5,	2,	0,	1,	0,	1,	3,	
V 1  0  1  1  0  1  0  1  1  1  1  1 ,	3,	0,	0,	5,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	3,	1,	1,	2,	1,	2,	0,	0,	0,	5,	0,	0,	0,	1,	2,	1,	0,	1,	3,	13,	0,	0,	1,	0,	1,	0,	1,	1,	1,	0,	0,	0,	0,	2,	0,	2,	0,	2,	1,	3,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	
V 1  1  1  0  0  0  1  1  1  0  1  1 ,	5,	2,	1,	7,	1,	0,	2,	0,	2,	1,	2,	0,	0,	2,	1,	1,	1,	0,	2,	1,	2,	0,	0,	2,	0,	0,	1,	0,	1,	2,	0,	1,	1,	5,	0,	0,	3,	0,	1,	0,	0,	1,	3,	1,	2,	1,	1,	0,	0,	0,	0,	1,	0,	4,	1,	1,	2,	0,	0,	0,	0,	4,	2,	0,	
V 0  1  0  1  0  1  0  0  1  1  1  0 ,	24,	3,	2,	64,	5,	4,	0,	1,	2,	2,	38,	2,	2,	3,	142,	5,	2,	4,	1,	5,	2,	8,	8,	16,	0,	0,	3,	5,	1,	0,	4,	1,	6,	109,	2,	0,	5,	6,	1,	0,	7,	2,	10,	0,	5,	6,	0,	3,	3,	1,	0,	3,	1,	76,	1,	0,	6,	1,	2,	0,	0,	20,	3,	3,	
V 0  1  1  0  1  0  1  0  1  1  0  1 ,	7,	1,	2,	4,	0,	1,	0,	0,	1,	0,	2,	1,	0,	1,	8,	1,	0,	0,	2,	1,	1,	0,	3,	4,	0,	0,	2,	1,	0,	0,	2,	2,	2,	19,	2,	0,	8,	1,	0,	0,	3,	0,	2,	1,	1,	1,	1,	3,	1,	2,	1,	2,	1,	6,	2,	0,	2,	0,	0,	0,	4,	3,	5,	0,	
V 1  0  0  0  0  1  1  1  1  0  1  0 ,	8,	1,	11,	6,	1,	90,	2,	1,	2,	0,	5,	3,	1,	6,	1,	2,	2,	3,	1,	5,	15,	2,	19,	0,	1,	3,	208,	25,	2,	2,	9,	1,	4,	4,	6,	0,	1,	4,	3,	1,	4,	0,	10,	2,	36,	2,	0,	3,	44,	12,	6,	6,	1,	4,	0,	0,	2,	0,	0,	1,	43,	0,	4,	1,	
V 0  0  0  1  1  0  1  1  0  1  1  1 ,	3,	0,	3,	1,	0,	35,	1,	0,	2,	0,	2,	2,	0,	4,	4,	0,	2,	2,	1,	0,	25,	0,	23,	0,	1,	0,	15,	4,	1,	2,	12,	2,	6,	4,	4,	0,	3,	20,	0,	1,	2,	1,	9,	0,	4,	7,	1,	2,	11,	5,	2,	2,	1,	0,	1,	0,	0,	0,	2,	0,	19,	0,	9,	2,	
V 1  0  1  1  1  0  0  0  1  0  0  0 ,	27,	482,	1,	24,	12,	0,	26,	1,	67,	69,	1,	0,	2452,	0,	1,	25,	2,	4,	18,	17,	1,	4,	0,	250,	4,	2,	2,	3,	0,	1,	1,	11,	6,	8,	0,	1,	2,	0,	96,	48,	46,	8,	8,	8,	7,	0,	1,	1,	6,	3,	8,	5,	6,	4,	0,	329,	240,	1,	5,	1,	2,	5,	2,	11,	
V 1  0  1  0  1  1  0  0  0  0  0  1 ,	22,	41,	4,	4,	3,	4,	19,	3,	13,	3,	2,	2,	23,	5,	0,	4,	4,	5,	7,	9,	2,	1,	4,	40,	1,	4,	15,	17,	0,	3,	0,	8,	14,	2,	3,	1,	9,	3,	18,	9,	43,	1,	8,	4,	46,	2,	1,	1,	5,	6,	19,	16,	4,	4,	3,	14,	4,	5,	1,	2,	2,	5,	3,	1,	
V 1  0  0  0  0  1  0  1  1  1  0  0 ,	15,	1,	11,	5,	0,	23,	4,	2,	5,	1,	16,	3,	2,	10,	9,	1,	3,	4,	0,	1,	18,	0,	28,	8,	1,	4,	20,	12,	2,	1,	17,	6,	13,	21,	10,	1,	9,	22,	1,	3,	5,	3,	16,	1,	21,	10,	2,	10,	28,	5,	2,	3,	2,	5,	1,	1,	7,	3,	4,	1,	20,	4,	7,	2,	
V 1  1  0  1  0  1  0  1  1  0  0  1 ,	5,	2,	0,	1,	0,	2,	0,	0,	1,	1,	0,	0,	11,	1,	1,	1,	2,	0,	2,	3,	0,	0,	1,	9,	2,	2,	1,	3,	0,	1,	0,	3,	4,	2,	0,	0,	2,	0,	4,	0,	3,	0,	1,	2,	4,	0,	0,	2,	1,	0,	0,	1,	0,	1,	1,	0,	4,	0,	1,	0,	0,	0,	0,	0,	
V 0  1  1  0  0  1  1  0  1  1  0  0 ,	13,	2,	0,	11,	1,	0,	0,	2,	4,	2,	7,	0,	2,	3,	4,	2,	1,	1,	1,	5,	1,	0,	3,	8,	0,	0,	5,	6,	1,	3,	1,	1,	11,	6,	4,	0,	3,	4,	0,	0,	7,	5,	7,	2,	4,	1,	1,	0,	6,	3,	1,	4,	2,	6,	0,	2,	5,	2,	2,	0,	0,	0,	1,	0,	
